Batch 662: Elapsed time: 0:05:09, cells: 10827, cells/sec: 35.04, nnz: 20.87M, nnz/sec: 67525.58, nnz/cell: 1927.2, max_nnz_active: 1165.18M, max_cells_active: 511998 
Batch 827: Elapsed time: 0:05:09, cells: 8422, cells/sec: 27.26, nnz: 20.21M, nnz/sec: 65410.47, nnz/cell: 2399.9, max_nnz_active: 1287.81M, max_cells_active: 511995 
Batch 613: Elapsed time: 0:05:11, cells: 10608, cells/sec: 34.11, nnz: 26.28M, nnz/sec: 84510.04, nnz/cell: 2477.6, max_nnz_active: 1306.21M, max_cells_active: 503669 
Batch 798: Elapsed time: 0:05:11, cells: 8573, cells/sec: 27.57, nnz: 12.48M, nnz/sec: 40119.05, nnz/cell: 1455.4, max_nnz_active: 1179.33M, max_cells_active: 499239 
Batch 908: Elapsed time: 0:05:11, cells: 10204, cells/sec: 32.81, nnz: 19.13M, nnz/sec: 61503.20, nnz/cell: 1874.5, max_nnz_active: 1246.24M, max_cells_active: 511999 
Batch 71: Elapsed time: 0:05:12, cells: 13863, cells/sec: 44.43, nnz: 7.69M, nnz/sec: 24659.56, nnz/cell: 555.0, max_nnz_active: 899.51M, max_cells_active: 511693 
Batch 917: Elapsed time: 0:05:16, cells: 11182, cells/sec: 35.39, nnz: 15.30M, nnz/sec: 48423.17, nnz/cell: 1368.4, max_nnz_active: 1562.68M, max_cells_active: 511675 
Batch 328: Elapsed time: 0:05:19, cells: 8210, cells/sec: 25.74, nnz: 15.82M, nnz/sec: 49590.43, nnz/cell: 1926.8, max_nnz_active: 899.51M, max_cells_active: 511693 
Batch 919: Elapsed time: 0:05:20, cells: 8334, cells/sec: 26.04, nnz: 13.74M, nnz/sec: 42940.94, nnz/cell: 1648.8, max_nnz_active: 1371.94M, max_cells_active: 511998 
Batch 793: Elapsed time: 0:05:21, cells: 10741, cells/sec: 33.46, nnz: 10.17M, nnz/sec: 31690.05, nnz/cell: 947.1, max_nnz_active: 1490.16M, max_cells_active: 511919 
Batch 481: Elapsed time: 0:05:22, cells: 10901, cells/sec: 33.85, nnz: 12.42M, nnz/sec: 38566.88, nnz/cell: 1139.2, max_nnz_active: 1235.77M, max_cells_active: 512000 
Batch 490: Elapsed time: 0:05:24, cells: 23377, cells/sec: 72.15, nnz: 31.23M, nnz/sec: 96389.91, nnz/cell: 1335.9, max_nnz_active: 1320.66M, max_cells_active: 493152 
Batch 792: Elapsed time: 0:05:25, cells: 13986, cells/sec: 43.03, nnz: 12.93M, nnz/sec: 39791.04, nnz/cell: 924.6, max_nnz_active: 1020.97M, max_cells_active: 511952 
Batch 870: Elapsed time: 0:05:25, cells: 13052, cells/sec: 40.16, nnz: 29.54M, nnz/sec: 90901.50, nnz/cell: 2263.5, max_nnz_active: 996.93M, max_cells_active: 511916 
Batch 476: Elapsed time: 0:05:27, cells: 12352, cells/sec: 37.77, nnz: 17.63M, nnz/sec: 53918.15, nnz/cell: 1427.4, max_nnz_active: 1191.76M, max_cells_active: 503629 
Batch 332: Elapsed time: 0:05:27, cells: 9009, cells/sec: 27.55, nnz: 16.13M, nnz/sec: 49341.27, nnz/cell: 1790.9, max_nnz_active: 1283.17M, max_cells_active: 511977 
Batch 940: Elapsed time: 0:05:29, cells: 11080, cells/sec: 33.68, nnz: 23.98M, nnz/sec: 72878.91, nnz/cell: 2164.0, max_nnz_active: 1308.95M, max_cells_active: 512000 
Batch 68: Elapsed time: 0:05:29, cells: 9462, cells/sec: 28.76, nnz: 4.74M, nnz/sec: 14395.50, nnz/cell: 500.5, max_nnz_active: 1406.04M, max_cells_active: 511970 
Batch 334: Elapsed time: 0:05:29, cells: 11519, cells/sec: 35.01, nnz: 28.21M, nnz/sec: 85751.97, nnz/cell: 2449.2, max_nnz_active: 1249.40M, max_cells_active: 512000 
Batch 664: Elapsed time: 0:05:30, cells: 9789, cells/sec: 29.66, nnz: 27.92M, nnz/sec: 84600.68, nnz/cell: 2852.0, max_nnz_active: 1016.89M, max_cells_active: 511986 
Batch 858: Elapsed time: 0:05:30, cells: 21313, cells/sec: 64.58, nnz: 38.33M, nnz/sec: 116165.25, nnz/cell: 1798.6, max_nnz_active: 1500.39M, max_cells_active: 511675 
Batch 37: Elapsed time: 0:05:31, cells: 10544, cells/sec: 31.85, nnz: 15.52M, nnz/sec: 46895.79, nnz/cell: 1472.2, max_nnz_active: 907.39M, max_cells_active: 511994 
Batch 65: Elapsed time: 0:05:31, cells: 8195, cells/sec: 24.76, nnz: 8.31M, nnz/sec: 25093.03, nnz/cell: 1013.5, max_nnz_active: 1324.99M, max_cells_active: 511744 
Batch 745: Elapsed time: 0:05:32, cells: 9463, cells/sec: 28.50, nnz: 30.04M, nnz/sec: 90494.17, nnz/cell: 3174.9, max_nnz_active: 1406.04M, max_cells_active: 511970 
